['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| la intranet è cambiata ||| ci sono diverse diciamo modifiche in il nelle interfacce
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non non ha non compare come anche la la timbratura giornaliera di ieri di il <NUM> ||| ho le quattro timbrature ma non ho l' orario finale giornaliero
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ho le quattro timbrature ||| ma non ho l' orario finale giornaliero
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ho capito ||| e come a lei mi ha detto anche <*> e come a lei mi ha detto anche le colleghe vero hanno questo problema
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| io questa cosa qui l' avevo già segnalata anche a il nostro nostro settore che si occupa di lo stato giuridico rile rilevamento badge ||| mi han detto che avrebbero provveduto a a informare il <ORG>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| mi han detto che avrebbero provveduto a a informare il <ORG> ma questo <*> mi han detto che avrebbero provveduto a a informare il <ORG> ma questo a inizio mese ||| e non è successo ancora nulla
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| non è successo ancora nulla ||| e adesso non so se è un problema
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| magari appunto ci state lavorando ||| e questo problema non è stato risolto
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| cerco di capire appunto chi si occupa di di l' inserimento più che altro di i dati ||| e su la procedura di le timbrature <*> e su la procedura di le timbrature me ne occupo io un attimo
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| su la procedura di le timbrature <*> su la procedura di le timbrature me ne occupo io un attimo ||| e <*> mi dia mi lasci un numero di telefono
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| non riusciamo a visualizzare il le sedute di il <ORG> <ORG> <*> non riusciamo a visualizzare il le sedute di il <ORG> <ORG> da qualche gior da qualche giorno ||| poi ci sono state le vacanze
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| su <SW> <SW> <SW> <*> su <SW> <SW> <SW> c' è un' opzione che ho scoperto bisogna impostare ||| le dico come fare
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| su <SW> <SW> <SW> <*> su <SW> <SW> <SW> c' è un' opzione che <*> su <SW> <SW> <SW> c' è un' opzione che bisogna impostare ||| dovrebbe risolvere il problema su <SW> <SW> <SW>
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| le dico come fare ||| tanto è una cosa molto semplice
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| le dico come fare ||| dovrebbe aprire <SW> <SW> sì <SW>
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| deve aprire questa ||| deve aprire proprio <SW> <SW> <SW>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| dovrebbe avere un menù strumenti ||| non lo vedo
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| deve cliccare su la casellina ||| e dovrebbe bastare questo
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| dovrebbe bastare questo ||| provi <*> solo a chiudere <*> solo a chiudere a chiudere <*> solo a chiudere a chiudere sia in sia <SW> <SW> che <SW> <SW>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| chiudere <*> sia in sia <SW> <SW> che <SW> <SW> ||| e ha provare a entrare su la sulla seduta
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| provi solo a chiudere <*> provi solo a chiudere sia <SW> <SW> che <SW> <SW> <*> provi solo a chiudere sia <SW> <SW> che <SW> <SW> e ha provare a entrare su la sulla seduta ||| quindi riapro internet <*> <SW>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| quindi riapro internet <*> <SW> ||| vado su su consiglio
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| vado su su consiglio ||| mi dà messaggio di errore
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| è un pò lungo ||| dovrebbe metter ci un attimo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| dovrebbe metter ci un attimo ||| perchè si carica tutto il <*> perchè si carica tutto il il file in streaming
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| dovrebbe metter ci un attimo ||| però se non le dà l' errore siamo già su la buona
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| mi dà un' immagine un pò strana ||| però <*> funziona
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| faccia solo impostare anche questa opzione per i suoi colleghi ||| ma glie la <*> ma glie la imposto io
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| la casella di posta per il quale bisogna effettuare il reset è la sua personale ||| ma è solo da <SW> <*> ma è solo da <SW> l' accesso esterno
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ma lei mi faccia <*> capire ||| lei ha sia <SW> programma che poi quando va fuori <*> lei ha sia <SW> programma che poi quando va fuori da la <SW>
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| 73 ||| adesso sono su il computer in la postazione a a <LOC>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ho ho un' accesso <SW> anche <*> ho ho un' accesso <SW> anche che mi era stato fatto come accesso ospite ||| perchè io utilizzo sempre la stessa macchina macchina e quindi avevo chiesto per comodità però caso mai fosse proprio anche esternamente o a casa cioè ho necessità di <*> perchè io utilizzo sempre la stessa macchina macchina e quindi avevo chiesto per comodità però caso mai fosse proprio anche esternamente o a casa cioè ho necessità di vedere la posta
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| io utilizzo sempre la stessa macchina macchina ||| e <*> avevo chiesto per comodità
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io utilizzo sempre la stessa macchina macchina <*> quindi ||| avevo chiesto per comodità
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| visto che lei su la macchina quella di <LOC> in teoria ha ancora <SW> <*> programma <*> visto che lei su la macchina quella di <LOC> in teoria ha ancora <SW> ha ancora <SW> programma proprio <*> installato ||| da lì c' è la possibilità di andare a cambiare la password per la <SW>
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| le spiego come come funziona ||| da lì c' è la possibilità di andare a cambiare la password per la <SW>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| da lì c' è la possibilità di andare a cambiare la password per la <SW> ||| però non è detto che funzioni
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| però non è detto che funzioni ||| perchè se le è scaduta non l' ha utilizzata per tot mesi quindi è scaduta
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non l' ha utilizzata per tot mesi quindi ||| è scaduta
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| altrimenti <NUM> <NUM> come interno ||| oppure <*> mi dica il <*> cellulare
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| che stato fatto l' intervento ||| e che quindi è a posto
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| stato fatto l' intervento <*> quindi ||| è a posto
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| finisco solo di chiudere questo ||| e poi vediamo l' altro
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| finisco solo di chiudere questo ||| poi vediamo l' altro
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| mentre <*> si segni il numero di chiamata ||| ci siamo
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| si segni il numero di chiamata ||| e questa è quella per la <SW> casella di posta per <SW> <SW>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| fanno il reset ||| la richiamo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| la richiamo ||| proviamo <*> poi insieme a vedere se effettivamente <*> poi insieme a vedere se effettivamente insieme a vedere se effettivamente <*> poi insieme a vedere se effettivamente insieme a vedere se effettivamente si si riesce a accedere
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non me lo ricordo più ||| era stato fatto per la postazione di <LOC>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| avevo precedentemente chiesto di installare <SW> <SW> nuova versione ||| perchè altrimenti non mi funzionavano
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| installare <SW> <SW> nuova versione ||| altrimenti non mi funzionavano
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| avevo precedentemente chiesto di installare <SW> <SW> nuova versione ||| poi non andava
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non andava allora ||| io ho chiesto <*> io ho chiesto ho chiesto a <PER> di far me
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| non andava ||| poi io ho chiesto <*> poi io ho chiesto ho chiesto a <PER> di far me
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| ho chiesto <*> ho chiesto ho chiesto a <PER> di far me ||| mentre ero qui a <LOC>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho chiesto a <PER> di far me ||| e mi ha detto quando sei una volta a <LOC> mi telefoni
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| questa qua poi è stata risolta <WD> <NUM> <*> questa qua poi è stata risolta <WD> <NUM> da il signor <PER> ||| e mi ha detto di comunicar lo a voi
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non è che per caso è la richiesta quella che faceva riferimento a l' impossibilità di accedere a le <*> non è che per caso è la richiesta quella che faceva riferimento a l' impossibilità di accedere a le procedure informatiche ||| perchè in teoria qua non è ancora stata assegnata a il tecnico
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| la faccio assegnare a lui ||| almeno lui <*> almeno lui poi ce la ce la chiude <*> almeno lui poi ce la ce la chiude ce la ce la chiude
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| almeno lui poi ce la ce la chiude ||| e ci fa pervenire la sua <*> chiusura
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io la richiamo più tardi <*> io la richiamo più tardi non appena ||| mi comunicano l' avvenuto reset di la password <*> mi comunicano l' avvenuto reset di la password di <SW>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non riesce a sentire le <*> non riesce a sentire le le sedute di il consiglio ||| non riesco a collegar mi
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| impossibile riprodurre il file ||| effettuare la connessione a internet
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| effettuare la connessione a internet ||| o inserire un supporto rimovibile in cui è contenuto il file
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| inserire un supporto rimovibile in cui è contenuto il file ||| e quindi riprovare a riprodurre il file
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| inserire un supporto rimovibile in cui è contenuto il file ||| quindi riprovare a riprodurre il file
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| effettuare la connessione a internet o inserire un supporto rimovibile in cui è contenuto il file e quindi riprovare a riprodurre il file <*> allora ||| dovrebbe essere una cosa abbastanza semplice
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| e in alto dovrebbe avere il menù file modifica ||| dev' esser ci una voce strumenti
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| lei è su <SW> <SW> adesso allora ||| devo uscire
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| dev' esser ci il segno di spunto ||| e <*> dia pure okay
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| dev' esser ci il segno di spunto ||| poi dia pure okay
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| dia pure okay ||| e adesso può chiudere in <SW> <SW>
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| adesso può chiudere in <SW> <SW> ||| e provi un pò a collegar si a la seduta di il consiglio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| provi un pò a collegar si a la seduta di il consiglio ||| penso che sia fattibile adesso
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| abbiamo la presa di una torretta di alimentazione per un <*> computer ||| e la presa collegata che dovrebbe essere collegata a il gruppo di continuità non funziona
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| la presa collegata che dovrebbe essere collegata a il gruppo di continuità non funziona quindi ||| stiamo collegando la macchina a la presa normale con i problemi conseguenti
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| il la torretta in questione è in il ||| e che numero è la torretta
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io non vedo nessuno numero ||| non è numerata
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non è numerata ||| perchè <*> attorno io non ho trovato niente
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| sono già andata sotto anche io ||| ma non è numerata
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| segnalo appunto che la torretta non è numerata ||| allora signora le lascio il numero di intervento
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| allora lei è la signora <PER> <PER> ||| e mi diceva che aveva ha problemi ad aprire le libere determine
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| aveva ha problemi ad aprire le libere determine ||| mi dice impossibile visualizzare la pagina
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| mi dice impossibile visualizzare la pagina ||| tutto il resto funziona
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| tutto il resto funziona ||| perchè sono già entrata in il in il protocollo in il portale di la formazione in workflow
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sono già entrata in il in il protocollo in il portale di la formazione in workflow quindi ||| tutto il resto funziona
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| tutto il resto funziona ||| solo qui non va
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| numero <*> di posta settore informatica ||| perchè me l' hanno cambiato ultimamente
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| me l' hanno cambiato ultimamente e ||| non me lo ricordo più
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 156 ||| stamattina funzionava
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho questo problema da quando ||| avete mandato quel messaggio che il server non veniva veniva interrotto
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ho questo problema da quando avete mandato quel messaggio che il server non veniva veniva interrotto ||| e insomma è da lì che ha questo problema <*> e insomma è da lì che ha questo problema da quel momento lì
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| ho questo problema da quando avete mandato quel messaggio che il server non veniva veniva interrotto ||| insomma è da lì che ha questo problema <*> insomma è da lì che ha questo problema da quel momento lì
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| allora vediamo solo un attimo lei dove si trova come sede signora ||| le stavo guardando se per caso avevano segnalato qualcosa <LOC> <LOC> <LOC> server giù per intervento hardware ma questo questa mattina
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| adesso va vero ||| perchè a volte signora non parte in automatico
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| a volte signora non parte in automatico <*> a volte signora non parte in automatico questo componente qua lo <SW> <SW> ||| quando lei avvia una procedura che sia delibera che sia determine
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| a volte signora non parte in automatico <*> a volte signora non parte in automatico lo <SW> <SW> ||| magari bisogna provare a chiudere la la pagina
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| chiudere la la pagina ||| avviare questo questo elemento questo componente
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| andando su <SW> <SW> start ||| e <*> cliccando una volta con il tasto sinistro
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| avviare questo questo elemento questo componente ||| e <*> riaprire le procedure
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| avviare questo questo elemento questo componente ||| poi riaprire le procedure
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| a volte parte ||| a meno che proprio non ci siano problemi di altro genere
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| a meno che proprio non ci siano problemi di altro genere ||| però se dà impossibile visualizzare la pagina selezionando su la procedura provare a fare questo operazione qui <*> però se dà impossibile visualizzare la pagina selezionando su la procedura provare a fare questo operazione qui va bene
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| impossibile visualizzare la pagina selezionando su la procedura ||| provare a fare questo operazione qui
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| almeno vediamo cosa è che non le permette di navigare ||| perchè la macchina è in rete quindi <*> perchè la macchina è in rete quindi dovrebbe poter navigare
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| la macchina è in rete quindi ||| dovrebbe poter navigare
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| dovrebbe poter navigare ||| magari è qualche impostazione di internet che è venuta meno
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| magari è qualche impostazione di internet che è venuta meno ||| magari ho fatto qualche casino io
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| almeno vi rendete conto che casino faccio ||| ma sarà sicuramente una una stupidaggine
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ieri avevano anche altri ||| però oggi proprio di nuovo ho detto bom
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| mi vede che mi sono collegato ||| intanto verifichiamo solo che non ci siano connessioni anomale
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| verifichiamo solo che non ci siano connessioni anomale ||| perchè il problema <*> perchè il problema su questa pagina qua aspettiamo un attimo se riesce a caricar ce adesso
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| vede che adesso le sta caricando tutto ||| provi magari lei a vedere se carica le pagine che ha intenzione di <*> visitare
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| lei non vuole questa <*> cosa ||| vuole l' intranet
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| cancelliamo questa su cosa ||| mettiamo W W W punto regione punto <LOC> <*> mettiamo W W W punto regione punto <LOC> punto I T
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è stato cambiato il contratto ||| visto che il contratto di lavoro anche <*> visto che il contratto di lavoro anche è stato rinnovato
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| scadeva a fine mese scorso ||| adesso non so come lo hanno rinnovato sinceramente
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| adesso non so come lo hanno rinnovato sinceramente ||| bisogna chiedere a l' azienda
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| l' unica cosa strana appunto che i tornelli invece che ci sia stata la disattivazione di la vecchia ||| perchè erano i primi che mi bloccavano di solito a la scaden
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| vediamo se è arrivata la mail da l' ufficio commesse ||| perchè noi siamo <*> perchè noi siamo subordinati a quella mail
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| noi siamo <*> noi siamo subordinati a quella mail ||| in il senso che una volta che ci arriva la <*> in il senso che una volta che ci arriva la comunicazione noi riattiviamo l' utente
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| una volta che <*> una volta che noi riattiviamo l' utente ||| ci arriva la <*> comunicazione
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ti risulta che ti ha mandato la mail il reparto di le commesse ||| perchè la loro han bloccato <*> perchè la loro han bloccato han bloccato la l' utenza
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| la loro han bloccato <*> la loro han bloccato han bloccato la l' utenza ||| è finito il <NUM> il <NUM>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| han bloccato la l' utenza ||| però <*> adesso sta controllando se è arrivata la mail per l' attivazione
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| stanno registrando per <MISC> il progetto <MISC> ||| il riconoscitore vocale è tutto in automatico telefonico
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| la remedy che hanno aperto quindi ||| la mail c' è arrivata
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| la mail c' è arrivata ||| invece <*> allora si abbiamo reinoltrato
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| responsabile chi è segnato ||| perchè <*> in il frattempo è cambiato
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| in il frattempo è cambiato quindi ||| che non sia arrivato a
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| quà non ci sono riferimenti ||| mi metto in contatto un attimo con la collega che ci ha gestito questa richiesta
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| facciamo una cosa ||| mi metto in contatto un attimo con la collega che ci ha gestito questa richiesta
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| mi metto in contatto un attimo con la collega che ci ha gestito questa richiesta ||| le do un colpo di telefono io tra un paio di minuti
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| le do un colpo di telefono io tra un paio di minuti ||| ci risentiamo fra due cinque minuti
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io non ho in il senso l' utente ||| visto che le regole sono di mettere nome e cognome <*> visto che le regole sono di mettere nome e cognome e poi la password però io non ce l' ho
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| le regole sono di mettere nome e cognome <*> le regole sono di mettere nome e cognome e poi la password ||| però io non ce l' ho
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 67 ||| perchè non ho ancora il PC
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| io posso fare una cosa di questo tipo ||| posso <*> posso aprire un intervento e chiedere il reset di la password di la <SW> <SW>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non non c' è una una password di default ||| perchè nessuno m' ha detto niente
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| m' hanno abilitato da poco ||| m' hanno detto che poi mi avrebbero attivato la <SW> <SW>
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| da le regole c' è nome e cognome come utente ||| però password resettate cosa vuol dire
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| i sistemisti te ne impostano una ||| e <*> ti mettono l' obbligo di cambio a il primo accesso
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| i sistemisti te ne impostano una ||| poi ti mettono l' obbligo di cambio a il primo accesso
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| tu <*> fai accesso con quella ||| poi te la cambi
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| te la cambi ||| e ta la metti come vuoi
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io ti chiamo a il <NUM> <NUM> di interno <*> appena ||| mi danno l' okay
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| metteranno una <*> metteranno una cosa tipo <*> metteranno una cosa tipo una cosa tipo <WORD> <WORD> <PUNC> <DIGIT> <CHAR> <DIGIT> <*> metteranno una cosa tipo una cosa tipo <WORD> <WORD> <PUNC> <DIGIT> <CHAR> <DIGIT> una cosa di il genere ||| però <*> con precisione te la comunico poi quando ti richiamo più tardi
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| metteranno una <*> metteranno una cosa tipo <*> metteranno una cosa tipo una cosa tipo <WORD> <WORD> <PUNC> <DIGIT> <CHAR> <DIGIT> <*> metteranno una cosa tipo una cosa tipo <WORD> <WORD> <PUNC> <DIGIT> <CHAR> <DIGIT> una cosa di il genere ||| comunque <*> con precisione te la comunico poi quando ti richiamo più tardi
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| con precisione te la comunico poi quando ||| ti richiamo più tardi
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| deve modificare il flag di una determina ||| <DIGIT> che da <CHAR> deve diventare una <CHAR>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sembrerebbe che la <SW> non funzioni ||| non mi accetta l' utente a la <*> non mi accetta l' utente a la password mi dice utente e password non validi
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non mi accetta l' utente a la <*> password ||| mi dice utente e password non validi
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| mi dice utente e password non validi ||| tra l' altro ho anche provato con un altro mio collega qui vicino e anche a lui gli dà lo stesso problema
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ho anche provato con un altro mio collega qui vicino ||| e anche a lui gli dà lo stesso problema
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| anche a lui gli dà lo stesso problema ||| avete entrambi problemi di accesso
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| avete entrambi problemi di accesso ||| e l' ultima volta che avete che avete regolarmente fatto accesso a la <SW>
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| anche a lui gli dà lo stesso problema ||| tra l' altro anche un mio collega qui a fianco non <*> tra l' altro anche un mio collega qui a fianco non non entra
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| la vecchia password quella che utilizzava <*> la vecchia password quella che utilizzava dovrebbe chieder le immediatamente di far le un cambio ||| in realtà <*> in realtà non mi ha chiesto nu la
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| sono entrato ||| non mi ha chiesto nu la
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| devo inserire nome e cognome <*> devo inserire nome e cognome tutte le volte ||| non posso mettere un alias
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| non posso mettere un alias ||| c' ho un nome chilometrico
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| c' ho un nome chilometrico ||| non posso ogni ogni dieci minuti <*> non posso ogni ogni dieci minuti scrivere <PER> <PER> <PER>
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| inizialmente l' accesso a la <SW> era era consentito con <*> inizialmente l' accesso a la <SW> era era consentito con l' iniziale di il nome e un' altra parte di il cognome ||| da parecchio tempo a questa parte l' accesso è consentito con nome spazio cognome
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| da parecchio tempo a questa parte l' accesso è consentito con nome spazio cognome ||| alcuni utenti avevano ancora il vecchio accesso con lo short I D
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è così così per tutti ||| infatti non è la prima chiamata di questo tipo <*> infatti non è la prima chiamata di questo tipo che ricevo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| come a il solito fanno i lavori ||| e non lo segnalano
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| non credo pro ||| non credo <*> proprio
